id;title;url;cover;rate
21318488;消失的爱人;http://movie.douban.com/subject/21318488/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2221768894.jpg;8.7
10755171;暗黑之地;http://movie.douban.com/subject/10755171/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2231271696.jpg;6.0
11520649;麦克法兰;http://movie.douban.com/subject/11520649/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2222667000.jpg;8.2
26268587;风流艳妇;http://movie.douban.com/subject/26268587/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2263217275.jpg;6.8
25718082;念念;http://movie.douban.com/subject/25718082/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2239530046.jpg;7.0
23761370;速度与激情7;http://movie.douban.com/subject/23761370/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2233706697.jpg;8.3
24405378;王牌特工：特工学院;http://movie.douban.com/subject/24405378/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2231932406.jpg;8.5
19957083;泰迪熊2;http://movie.douban.com/subject/19957083/;http://img4.douban.com/view/photo/photo/public/p2251685689.jpg;6.5
24716045;远离尘嚣;http://movie.douban.com/subject/24716045/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2235684794.jpg;6.8
25945356;新步步惊心;http://movie.douban.com/subject/25945356/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2259532859.jpg;4.6
21937450;国际市场;http://movie.douban.com/subject/21937450/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2210568759.jpg;8.1
25870084;重返20岁;http://movie.douban.com/subject/25870084/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2216353367.jpg;7.3
25794212;分歧者2：绝地反击;http://movie.douban.com/subject/25794212/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2246877123.jpg;5.7
21442760;最长的旅程;http://movie.douban.com/subject/21442760/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2218476421.jpg;7.1
3104205;阿罗哈;http://movie.douban.com/subject/3104205/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2241461417.jpg;5.7
25742299;暴疯语;http://movie.douban.com/subject/25742299/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2232891520.jpg;5.9
21263666;美国狙击手;http://movie.douban.com/subject/21263666/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2203481530.jpg;7.4
25900851;味园Universe;http://movie.douban.com/subject/25900851/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2220182503.jpg;7.1
25774050;寄生兽;http://movie.douban.com/subject/25774050/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2225188257.jpg;7.4
26314206;中国之旅;http://movie.douban.com/subject/26314206/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2232952195.jpg;7.0
10827341;疯狂外星人;http://movie.douban.com/subject/10827341/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2235609577.jpg;7.3
24859095;控制游戏;http://movie.douban.com/subject/24859095/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2253364531.jpg;5.4
6846893;超能查派;http://movie.douban.com/subject/6846893/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2240110789.jpg;7.2
25799475;所罗门的伪证前篇：事件;http://movie.douban.com/subject/25799475/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2225971911.jpg;6.6
1889243;星际穿越;http://movie.douban.com/subject/1889243/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2206088801.jpg;9.1
25823833;天将雄师;http://movie.douban.com/subject/25823833/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2224484447.jpg;6.0
25811357;冲锋车;http://movie.douban.com/subject/25811357/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2231140287.jpg;6.6
2973079;霍比特人3：五军之战;http://movie.douban.com/subject/2973079/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2219406504.jpg;8.2
10792633;金衣女人;http://movie.douban.com/subject/10792633/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2231410371.jpg;7.7
10754780;无人引航;http://movie.douban.com/subject/10754780/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2194962310.jpg;8.2
10440138;侏罗纪世界;http://movie.douban.com/subject/10440138/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2246217861.jpg;7.8
2998373;帕丁顿熊;http://movie.douban.com/subject/2998373/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2230471461.jpg;7.6
11026735;超能陆战队;http://movie.douban.com/subject/11026735/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2224568669.jpg;8.6
24987018;赤道;http://movie.douban.com/subject/24987018/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2238375159.jpg;5.9
25858759;有一个地方只有我们知道;http://movie.douban.com/subject/25858759/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2223068290.jpg;5.0
25800938;男人与鸡;http://movie.douban.com/subject/25800938/;http://img3.douban.com/view/movie_poster_cover/lpst/public/p2222041842.jpg;7.2
21349734;博物馆奇妙夜3;http://movie.douban.com/subject/21349734/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2219665256.jpg;7.0
2363942;44号孩子;http://movie.douban.com/subject/2363942/;http://img4.douban.com/view/movie_poster_cover/lpst/public/p2232866868.jpg;6.6
